Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Saint Lucia,Americas,4486,2443,85,46.29,23,70,38.12,3,1.63,0,Community transmission
Gibraltar,Europe,4283,12712.59,0,0,0,94,279.01,0,0,0,Clusters of cases
Sierra Leone,Africa,4044,50.7,16,0.2,0,79,0.99,0,0,0,Community transmission
Burundi,Africa,3874,32.58,262,2.2,21,6,0.05,0,0,0,Community transmission
Comoros,Africa,3829,440.32,14,1.61,0,146,16.79,0,0,0,Community transmission
Barbados,Americas,3824,1330.67,51,17.75,4,44,15.31,0,0,0,Community transmission
Guinea-Bissau,Africa,3726,189.33,14,0.71,2,67,3.4,1,0.05,0,Community transmission
Eritrea,Africa,3605,101.65,114,3.21,0,10,0.28,0,0,0,Community transmission
Jersey,Europe,3233,2999.18,1,0.93,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3080,2949.49,41,39.26,0,27,25.86,0,0,0,Community transmission
Liechtenstein,Europe,2947,7605.75,33,85.17,0,56,144.53,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2846,2.92,65,0.07,14,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2432,6197.13,33,84.09,3,32,81.54,1,2.55,1,Sporadic cases
Turks and Caicos Islands,Americas,2376,6136.68,7,18.08,0,17,43.91,0,0,0,Clusters of cases
Bermuda,Americas,2335,3749.62,212,340.44,20,23,36.93,5,8.03,0,Community transmission
Sao Tome and Principe,Africa,2297,1048.1,22,10.04,-1,35,15.97,0,0,0,Community transmission
New Zealand,Western Pacific,2245,46.56,7,0.15,0,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2212,5158.34,10,23.32,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2097,41.46,17,0.34,11,85,1.68,0,0,0,Community transmission
Timor-Leste,South-East Asia,1897,143.88,591,44.83,89,3,0.23,1,0.08,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,1830,1649.54,11,9.92,0,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1728,4469.85,18,46.56,18,13,33.63,0,0,0,Community transmission
Isle of Man,Europe,1585,1864,8,9.41,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1527,7300.98,16,76.5,0,15,71.72,1,4.78,0,Community transmission
Antigua and Barbuda,Americas,1227,1252.95,11,11.23,5,31,31.66,0,0,0,Clusters of cases
Mauritius,Africa,1206,94.83,3,0.24,0,16,1.26,1,0.08,0,Clusters of cases
Bhutan,South-East Asia,1022,132.45,65,8.42,4,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,976,9873.55,22,222.56,22,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,746,,1,,1,13,,0,,0,Not applicable
Faroe Islands,Europe,663,1356.8,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,534,812.54,9,13.69,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,449,3992.53,2,17.78,0,5,44.46,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,323,4.44,265,3.64,76,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,223,50.97,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,194,641.6,7,23.15,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,173,240.31,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,164,284.93,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,1,0.35,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,91,10.15,19,2.12,5,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,63,1808.79,1,28.71,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,58,386.62,29,193.31,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
