ISO3,VACCINE_NAME,PRODUCT_NAME,COMPANY_NAME,AUTHORIZATION_DATE,START_DATE,END_DATE,COMMENT,DATA_SOURCE
NOR,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-03-31,,,REPORTING
FIN,Moderna - mRNA-1273,mRNA-1273,Moderna,,2020-12-23,,,REPORTING
MNP,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2020-12-11,2020-12-19,,,REPORTING
UKR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-02-10,,,REPORTING
ABW,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-02-17,,,REPORTING
HUN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
POL,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2020-12-23,,,REPORTING
KOR,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
SLV,SII - Covishield,Covishield,Serum Institute of India,,2021-04-12,,,REPORTING
MNG,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-01-10,2021-03-19,,,REPORTING
BEL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
SDN,SII - Covishield,Covishield,Serum Institute of India,2021-02-20,2021-03-09,,,REPORTING
PRT,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-01-13,,,REPORTING
GTM,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-02-25,,,REPORTING
EST,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-10,,,REPORTING
PHL,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,2021-03-19,,,,REPORTING
IND,SII - Covishield,Covishield,Serum Institute of India,2021-01-03,2021-01-16,,,REPORTING
MDA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-03-24,,,REPORTING
AZE,Sinovac - CoronaVac,Coronavac,Sinovac,,2021-01-20,,,REPORTING
PYF,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2020-12-29,2021-01-18,,,REPORTING
LIE,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-02-10,,,REPORTING
RUS,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology,,,,,OWID
WLF,Moderna - mRNA-1273,mRNA-1273,Moderna,2021-01-06,2021-03-19,,,REPORTING
HRV,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-01-13,,,REPORTING
IRN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
NOR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
IND,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
PRY,Bharat - Covaxin,Covaxin,Bharat Biotech,,2021-04-10,,,REPORTING
GHA,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,2021-02-09,2021-03-02,,,REPORTING
PSE,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-01-25,2021-02-02,,,REPORTING
GUY,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
SLB,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
BGD,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
RUS,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,OWID
GIN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,2021-01-27,2021-03-05,,,REPORTING
AGO,SII - Covishield,Covishield,Serum Institute of India,,2021-03-10,,,REPORTING
POL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2020-12-23,,,REPORTING
CRI,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
CIV,SII - Covishield,Covishield,Serum Institute of India,2021-02-13,2021-03-01,,,REPORTING
SYC,SII - Covishield,Covishield,Serum Institute of India,,2021-01-10,,,REPORTING
SXM,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
COM,Bharat - Covaxin,Covaxin,Bharat Biotech,2021-02-01,2021-04-10,,,REPORTING
SAU,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
CAN,SII - Covishield,Covishield,Serum Institute of India,,,,,REPORTING
FRA,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
BWA,SII - Covishield,Covishield,Serum Institute of India,,2021-03-26,,,REPORTING
ROU,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-27,,,REPORTING
PHL,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
KOR,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-02-09,2021-02-26,,,REPORTING
NIC,SII - Covishield,Covishield,Serum Institute of India,,2021-04-06,,,REPORTING
PHL,Novavax - Covavax,Covavax,Novavax,,,,,REPORTING
ITA,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-06,,,REPORTING
BHR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
MNG,SII - Covishield,Covishield,Serum Institute of India,2021-01-10,2021-02-23,,,REPORTING
EGY,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2020-12-30,2021-01-24,,,REPORTING
CHN,Sinovac - CoronaVac,Coronavac,Sinovac,2021-02-07,,,,REPORTING
BOL,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-01-30,,,REPORTING
SOM,SII - Covishield,Covishield,Serum Institute of India,2021-02-22,2021-03-16,,,REPORTING
MEX,CanSino - Ad5-nCOV,Ad5-nCOV,CanSino Biologicals,,,,,REPORTING
JAM,SII - Covishield,Covishield,Serum Institute of India,,2021-03-10,,,REPORTING
PHL,Bharat - Covaxin,Covaxin,Bharat Biotech,2021-04-10,,,,REPORTING
MHL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
LBN,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
LAO,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
BEL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-30,,,REPORTING
NOR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-03-31,,,REPORTING
EST,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
JAM,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
JEY,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
MNP,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,2021-02-27,2021-03-19,,,REPORTING
MUS,SII - Covishield,Covishield,Serum Institute of India,2021-01-21,2021-01-26,,,REPORTING
FRO,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
BEL,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-13,,,REPORTING
BOL,SII - Covishield,Covishield,Serum Institute of India,,,,,REPORTING
ARG,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
PSE,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
MRT,SII - Covishield,Covishield,Serum Institute of India,,2021-03-26,,,REPORTING
PRY,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-03-25,,,REPORTING
BEN,SII - Covishield,Covishield,Serum Institute of India,2021-02-24,2021-03-29,,,REPORTING
ARG,SII - Covishield,Covishield,Serum Institute of India,,,,,REPORTING
KOR,Novavax - Covavax,Covavax,Novavax,,,,,REPORTING
TUN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
BTN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2021-03-08,,,,REPORTING
VCT,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
BOL,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
LTU,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-28,,,REPORTING
CUW,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-02-24,,,REPORTING
MNG,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2021-01-10,2021-03-26,,,REPORTING
MNE,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-24,,,REPORTING
GTM,SII - Covishield,Covishield,Serum Institute of India,,2021-03-03,,,REPORTING
GRC,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-28,,,REPORTING
HND,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-02-26,,,REPORTING
SLE,SII - Covishield,Covishield,Serum Institute of India,2021-03-04,2021-03-15,,,REPORTING
HND,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-15,,,REPORTING
CIV,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-03-01,,,REPORTING
SSD,SII - Covishield,Covishield,Serum Institute of India,2021-03-01,2021-04-06,,,REPORTING
ZMB,SII - Covishield,Covishield,Serum Institute of India,2021-02-28,2021-04-14,,,REPORTING
ISL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
LUX,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
IRL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
OMN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
SYC,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-01-10,,,REPORTING
SVK,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2020-12-23,,,REPORTING
MLT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
ARE,SII - Covishield,Covishield,Serum Institute of India,,,,,REPORTING
CYM,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-01-15,,,REPORTING
MDA,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-03,,,REPORTING
BLZ,SII - Covishield,Covishield,Serum Institute of India,,2021-03-01,,,REPORTING
ZWE,Bharat - Covaxin,Covaxin,Bharat Biotech,,2021-02-18,,,REPORTING
LKA,SII - Covishield,Covishield,Serum Institute of India,2021-01-22,2021-01-29,,,REPORTING
CAF,Bharat - Covaxin,Covaxin,Bharat Biotech,2021-02-26,2021-03-19,,,REPORTING
NZL,Novavax - Covavax,Covavax,Novavax,,,,,REPORTING
LKA,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),2021-05-08,2021-04-05,,,REPORTING
GIB,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
DNK,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-13,,,REPORTING
CHN,CanSino - Ad5-nCOV,Ad5-nCOV,CanSino Biologicals,2020-06-29,,,,REPORTING
GEO,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-17,,,REPORTING
SUR,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
BEL,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-03,,,REPORTING
MOZ,SII - Covishield,Covishield,Serum Institute of India,,2021-03-08,,,REPORTING
GUY,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
IDN,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-02-21,2021-03-23,,,REPORTING
GBR,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-11,,,REPORTING
VNM,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,2021-03-23,,,,REPORTING
LBY,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-02-24,2021-04-11,,,REPORTING
BHS,SII - Covishield,Covishield,Serum Institute of India,,2021-03-14,,,REPORTING
DEU,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-13,,,REPORTING
KHM,Sinovac - CoronaVac,Coronavac,Sinovac,2021-03-12,2021-04-01,,,REPORTING
ROU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-01-27,,,REPORTING
SMR,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-02-24,,,REPORTING
IRL,Moderna - mRNA-1273,mRNA-1273,Moderna,,2021-01-13,,,REPORTING
JOR,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
FSM,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,2021-02-27,,,,REPORTING
VEN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-02-13,,,REPORTING
SYR,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
SYR,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
ALB,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-10,,,REPORTING
GIN,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),2021-02-12,2021-03-05,,,REPORTING
GRL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
USA,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,,,,REPORTING
NRU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-03-02,2021-04-09,,,REPORTING
SUR,SII - Covishield,Covishield,Serum Institute of India,,2021-02-23,,,REPORTING
GIN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,2021-03-22,2021-03-05,,,REPORTING
SWE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
CHE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
TTO,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
HUN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
KWT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
BLZ,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-04-07,,,REPORTING
PSE,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
MLT,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-10,,,REPORTING
NIU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
SRB,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-24,,,REPORTING
BTN,SII - Covishield,Covishield,Serum Institute of India,2021-01-21,2021-03-27,,,REPORTING
PRI,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
SGP,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
BIH,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
SVK,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
NZL,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
MDV,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2021-03-14,2021-04-13,,,REPORTING
MCO,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,OWID
GTM,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-15,,,REPORTING
LUX,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-04-14,,,REPORTING
FRA,Moderna - mRNA-1273,mRNA-1273,Moderna,,2020-12-23,,,REPORTING
CRI,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
GIN,Sinovac - CoronaVac,Coronavac,Sinovac,2021-04-01,2021-03-05,,,REPORTING
BES,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
FSM,Moderna - mRNA-1273,mRNA-1273,Moderna,2020-12-18,2021-01-13,,,REPORTING
SXM,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-02-22,,,REPORTING
GNQ,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-02-12,,,REPORTING
JPN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2021-02-14,2021-02-17,,,REPORTING
JOR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,,,,REPORTING
COL,Sinovac - CoronaVac,Coronavac,Sinovac,,2021-02-22,,,REPORTING
DEU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
CHL,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-04-28,,,REPORTING
SOM,Sinovac - CoronaVac,Coronavac,Sinovac,,,,,REPORTING
GUM,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,2021-03-15,,,REPORTING
HUN,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-03,,,REPORTING
CHE,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,OWID
NRU,SII - Covishield,Covishield,Serum Institute of India,,,,,REPORTING
VCT,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-02-01,,,REPORTING
BRB,SII - Covishield,Covishield,Serum Institute of India,,2021-02-10,,,REPORTING
KHM,SII - Covishield,Covishield,Serum Institute of India,2021-02-21,2021-03-04,,,REPORTING
SLV,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-03-23,,,REPORTING
CAN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-14,,,REPORTING
KWT,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2020-12-13,2020-12-28,,,REPORTING
DOM,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
USA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-14,,,REPORTING
SRB,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
ARE,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
FLK,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,OWID
ISR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-16,,,REPORTING
DJI,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
VEN,Wuhan CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Wuhan Institute of Biological Products (CNBG),,2021-03-08,,,REPORTING
ZWE,Sinovac - CoronaVac,Coronavac,Sinovac,,2021-02-18,,,REPORTING
FJI,AstraZeneca - AZD1222,AZD1222,AstraZeneca,2021-02-22,2021-03-07,,,REPORTING
KWT,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
URY,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-03-11,,,REPORTING
SDN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,2021-02-20,2021-03-09,,,REPORTING
COM,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),2021-02-01,2021-04-10,,,REPORTING
AZE,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-05-05,,,REPORTING
ALB,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,2021-03-24,,,REPORTING
DOM,SII - Covishield,Covishield,Serum Institute of India,,2021-02-16,,,REPORTING
MDA,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-03-24,,,REPORTING
PRI,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,,,,REPORTING
JOR,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
AFG,SII - Covishield,Covishield,Serum Institute of India,2021-02-23,2021-02-22,,,REPORTING
BGR,Moderna - mRNA-1273,mRNA-1273,Moderna,,2020-12-30,,,REPORTING
MNE,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-03-03,,,REPORTING
LBN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute,,,,,REPORTING
BGR,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-03,,,REPORTING
ATG,SII - Covishield,Covishield,Serum Institute of India,,2021-02-19,,,REPORTING
THA,Sinovac - CoronaVac,Coronavac,Sinovac,2021-02-22,2021-02-28,,,REPORTING
MNE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-05-05,,,REPORTING
LVA,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-03,,,REPORTING
MKD,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-04-21,,,REPORTING
NOR,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-03-31,,,REPORTING
PHL,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
SDN,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
ZWE,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,,,,REPORTING
BRB,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
VGB,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-02-11,,,REPORTING
IRL,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,2021-01-13,,,REPORTING
ETH,SII - Covishield,Covishield,Serum Institute of India,2021-03-03,2021-03-13,,,REPORTING
DMA,AstraZeneca - AZD1222,AZD1222,AstraZeneca,,,,,REPORTING
BRN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,,,,REPORTING
GAB,Beijing CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Beijing Institute of Biological Products (CNBG),,2021-03-23,,,REPORTING
BGR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-23,,,REPORTING
MAR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals,,,,,REPORTING
MEX,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
TUN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,,,,REPORTING
QAT,Moderna - mRNA-1273,mRNA-1273,Moderna,,,,,REPORTING
SLB,SII - Covishield,Covishield,Serum Institute of India,2021-02-22,2021-03-22,,,REPORTING
GEO,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2021-03-31,,,REPORTING
MYS,Sinovac - CoronaVac,Coronavac,Sinovac,2021-03-02,2021-03-18,,,REPORTING
AUT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,,2020-12-30,,,REPORTING
